product_name,price,old_price,discount,product_url,image_url,rating
, 23900,,32%,https://www.jumia.co.ke/dell-refurbished-5400-core-i5-8gb-ram-256gb-ssd-8th-gen-14-fhd-touchscreen-windows-11-pro-business-laptop-mouse-313119667.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/6911313/1.jpg?9115,
, 41999,,26%,https://www.jumia.co.ke/hp-refurbished-elitebook-840-g5-core-i5-16gb-512gb-ssd-14-touchscreen-8th-gen-quad-core-slim-laptop.-161234812.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8432161/1.jpg?7191,
, 37900,,16%,https://www.jumia.co.ke/hp-refurbished-elitebook-840-g5-core-i7-8gb-256gb-ssd-8th-gen-14-inch-touchscreen-ultrabook-laptop-bag-306376116.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/1673603/1.jpg?4753,
, 24900,,34%,https://www.jumia.co.ke/refurbished-elitebook-840-g3-core-i7-8gb-ram-256gb-ssd-14-inch-6th-gen-win-10-laptop-hp-mpg1337397.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/2649161/1.jpg?1164,
, 36400,,9%,https://www.jumia.co.ke/apple-refurbished-macbook-air-intel-core-i5-4gb-ram-256gb-ssd-13.3-display-a1466-2015-macos-laptop-292055965.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/9550292/1.jpg?0375,
, 19900,,31%,https://www.jumia.co.ke/hp-refurbished-probook-x360-core-i5-8gb-128gb-ssd-11e-7th-gen-11.6-touchscreen-laptop-297886263.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/2688792/1.jpg?9098,
, 43290,,50%,https://www.jumia.co.ke/hp-notebook-15-intel-celeron-n-series-15.6-500gb-ssd4gb-ram.1-yr-wrty-251263427.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/4362152/1.jpg?9393,
, 310050,,50%,https://www.jumia.co.ke/lenovo-thinkpad-x1-carbon-g10-14-inches-12th-gen-intel-core-i7-16gb-512gb-ssd-win-11-pro-black1-yr-wrty-250571655.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/6175052/1.jpg?9711,
, 138060,,50%,https://www.jumia.co.ke/hp-envy-x360-intel-core-i7-1355u-16gb-ram-1tb-ssd-15.6-inches-fhd-multitouch-display1-yr-wrty-250588431.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/4885052/1.jpg?4106,
, 78390,,50%,https://www.jumia.co.ke/dell-vostro-3510-intel-core-i5-4gb-ram-1tb-ssd-15.6.1-yr-wrty-250596018.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/0695052/1.jpg?3189,
, 125190,,,https://www.jumia.co.ke/lenovo-thinkpad-e15-15.6-12th-gen-intel-core-i5-8gb-ram-512gb-ssd-dos-black.1-yr-wrty-250592327.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/3295052/1.jpg?2939,
